#Interval	Step nums	Times	Abs time	Breaks	Pos nums	Pos ratio
200	2983	0.35557007789611816	0.3556339740753174	0	8543	2.862935656836461
400	3119	0.37000560760498047	0.7256746292114258	0	8680	2.782051282051282
600	3294	0.3887441158294678	1.1144435405731201	0	8725	2.6479514415781487
800	3191	0.37802934646606445	1.4925053119659424	0	8464	2.6516290726817044
1000	3389	0.40163755416870117	1.8941700458526611	0	8916	2.630088495575221
1200	3553	0.4201529026031494	2.3143534660339355	0	9131	2.5692177827799663
1400	3498	0.4148104190826416	2.729193687438965	0	8800	2.5150042869391256
1600	3841	0.45049548149108887	3.179718494415283	0	9299	2.420353982300885
1800	3533	0.41677021980285645	3.596513271331787	0	8756	2.477645727221279
2000	4020	0.47109222412109375	4.0676305294036865	0	9665	2.403630937577717
2200	4116	0.4848809242248535	4.552536964416504	0	9754	2.3692008744231234
2400	4410	0.5246903896331787	5.07725191116333	0	10039	2.275901156200408
2600	4298	0.506263017654419	5.583539247512817	0	10118	2.353570597813445
2800	4335	0.5083250999450684	6.091887950897217	0	9768	2.2527675276752768
3000	4123	0.4875810146331787	6.57949423789978	0	9409	2.2815227934044615
3200	4342	0.5123603343963623	7.091879844665527	0	9538	2.1961777573106147
3400	4859	0.5653951168060303	7.657301664352417	0	10276	2.11440329218107
3600	4422	0.5147895812988281	8.172116756439209	0	9468	2.1406285326701333
3800	4318	0.5040340423583984	8.676174402236938	0	9372	2.16994674693216
4000	4344	0.5113368034362793	9.187538623809814	0	9300	2.140391254315305
4200	4523	0.530325174331665	9.717888116836548	0	9871	2.1819186560565873
4400	4843	0.5755116939544678	10.293421506881714	0	10045	2.0736994219653178
4600	4914	0.5876660346984863	10.881117343902588	0	10384	2.1127161749745675
4800	4349	0.5199975967407227	11.401140928268433	0	9307	2.1395402298850574
5000	5056	0.6060729026794434	12.007236957550049	0	10504	2.077120822622108
5200	5366	0.6382730007171631	12.645533561706543	0	10951	2.040432271287498
5400	4688	0.5618445873260498	13.207401990890503	0	9622	2.0520366815952227
5600	4858	0.5897903442382812	13.797216176986694	0	10018	2.061741098991562
5800	4483	0.5482792854309082	14.345523595809937	0	9651	2.152319357716325
6000	5032	0.6139791011810303	14.95952820777893	0	10382	2.062785614941387
6200	4884	0.5838589668273926	15.543410539627075	0	10022	2.0515864892528146
6400	4841	0.5928328037261963	16.136265516281128	0	9905	2.0456422965716645
6600	4568	0.5526177883148193	16.688908100128174	0	9387	2.0544977019041366
6800	4867	0.5797529220581055	17.26868510246277	0	9928	2.039441248972884
7000	5084	0.6031644344329834	17.871869802474976	0	10261	2.017895771878073
7200	4990	0.5973050594329834	18.46919822692871	0	10171	2.037868162692847
7400	4699	0.5599634647369385	19.029187202453613	0	9581	2.0385106382978724
7600	4963	0.5900628566741943	19.61927318572998	0	10051	2.02477840451249
7800	5360	0.646766185760498	20.266062259674072	0	10698	1.995523223279239
8000	4906	0.5890974998474121	20.85518169403076	0	9919	2.021398002853067
8200	5439	0.6432056427001953	21.498411893844604	0	10776	1.9808823529411765
8400	5284	0.6234257221221924	22.1218581199646	0	10502	1.9871333964049196
8600	5330	0.6288130283355713	22.750693321228027	0	10504	1.970362033389608
8800	5979	0.7020905017852783	23.45280647277832	0	11429	1.9112040133779264
9000	5093	0.6064679622650146	24.059295892715454	0	9939	1.9511189634864547
9200	4767	0.5677204132080078	24.627037525177002	0	9513	1.9951761744966443
9400	5228	0.6247110366821289	25.251770734786987	0	10107	1.9328743545611016
9600	5368	0.6498925685882568	25.90168571472168	0	10615	1.9770907059042653
9800	4727	0.5693185329437256	26.471029043197632	0	9404	1.9890016920473774
10000	4713	0.563835859298706	27.034893035888672	0	9535	2.022698345354264
10200	4791	0.5712854862213135	27.606207132339478	0	9455	1.9730801335559265
10400	5645	0.6750166416168213	28.281245946884155	0	10898	1.9302160821820757
10600	5746	0.6859304904937744	28.967211961746216	0	10936	1.9029058639290064
10800	5524	0.6668899059295654	29.6341233253479	0	10819	1.9581900452488687
11000	5322	0.6482813358306885	30.282430171966553	0	10487	1.970129626150667
11200	5495	0.6552789211273193	30.937740564346313	0	10572	1.9235807860262009
11400	5921	0.7005085945129395	31.638272762298584	0	11125	1.8785883147585276
11600	5518	0.6743767261505127	32.312674045562744	0	10642	1.9282478709911215
11800	5354	0.641655683517456	32.95435357093811	0	10473	1.9557422969187674
12000	5089	0.6126863956451416	33.56706523895264	0	9928	1.9504911591355598
12200	5238	0.6199111938476562	34.186999559402466	0	10247	1.9559076159572437
12400	5652	0.6650302410125732	34.852055311203	0	10818	1.9136741553157615
12600	5442	0.6375689506530762	35.489646911621094	0	10706	1.9669300018372222
12800	5919	0.7026681900024414	36.19233798980713	0	11123	1.8788851351351352
13000	5267	0.6322813034057617	36.82464575767517	0	10238	1.9434320425208809
13200	5191	0.6186261177062988	37.44329571723938	0	10104	1.9460708782742682
13400	5032	0.6086087226867676	38.05192685127258	0	9931	1.973177031591496
13600	5216	0.6360788345336914	38.68803143501282	0	10029	1.9223691776883267
13800	5547	0.6703717708587646	39.358431577682495	0	10477	1.8884282624369142
14000	5627	0.6926486492156982	40.051122426986694	0	10792	1.9175550817341862
14200	5648	0.6784484386444092	40.72959494590759	0	10758	1.9044078597981944
14400	5342	0.6393468379974365	41.36896324157715	0	10068	1.8843346434587311
14600	5467	0.655585527420044	42.02457237243652	0	10488	1.9180687637161669
14800	5384	0.6480391025543213	42.672632694244385	0	10409	1.932961931290622
15000	5379	0.6486942768096924	43.32135200500488	0	10397	1.9325278810408921
15200	5852	0.7012169361114502	44.02259635925293	0	11129	1.9014180762002393
15400	5177	0.6354992389678955	44.65813684463501	0	9892	1.91039011201236
15600	5633	0.6680483818054199	45.326210021972656	0	10680	1.8956336528221511
15800	5525	0.6611783504486084	45.98741102218628	0	10798	1.9540354686934491
16000	6049	0.7216048240661621	46.70903992652893	0	11452	1.8928925619834711
16200	4921	0.596839189529419	47.30590295791626	0	9637	1.9579439252336448
16400	5662	0.6733822822570801	47.979308128356934	0	10856	1.9170051209606216
16600	4985	0.5965018272399902	48.575836420059204	0	9815	1.9685118331327718
16800	5256	0.6258244514465332	49.20168495178223	0	10014	1.9048887198021685
17000	5222	0.6214456558227539	49.823155641555786	0	10269	1.9661114302125215
17200	5805	0.6871545314788818	50.510334968566895	0	11012	1.8966586290044782
17400	4716	0.5703208446502686	51.08068084716797	0	9354	1.9830400678397286
17600	5511	0.6519360542297363	51.73263883590698	0	10465	1.8985849056603774
17800	5051	0.5975909233093262	52.330252170562744	0	9834	1.9465558194774346
