#Interval	Step nums	Times	Abs time	Breaks	Pos nums	Pos ratio
200	2989	0.3425898551940918	0.3426220417022705	0	8196	2.7411371237458195
400	3405	0.3909876346588135	0.7336111068725586	0	9248	2.715208455666471
600	3277	0.3752260208129883	1.1088378429412842	0	8679	2.6476510067114094
800	3140	0.3629415035247803	1.471780776977539	0	8364	2.6628462273161415
1000	3634	0.41832923889160156	1.8901116847991943	0	9293	2.5565337001375514
1200	3876	0.44557976722717285	2.335693120956421	0	9729	2.509414495744132
1400	3509	0.40573835372924805	2.7414321899414062	0	8756	2.4945868945868948
1600	3973	0.45778560638427734	3.19921875	0	9822	2.4715651736285857
1800	3995	0.46003127098083496	3.6592514514923096	0	9634	2.410910910910911
2000	4195	0.47928333282470703	4.138535737991333	0	9901	2.359628217349857
2200	4123	0.47521400451660156	4.613751173019409	0	9891	2.3983996120271582
2400	4304	0.49461865425109863	5.1083714962005615	0	10032	2.3303135888501743
2600	3919	0.45404934883117676	5.562422513961792	0	9408	2.4
2800	3998	0.46306419372558594	6.025488376617432	1	9134	2.2840710177544388
3000	4368	0.5023171901702881	6.527807235717773	1	9770	2.2362096589608607
3200	3940	0.4564628601074219	6.98427152633667	0	8856	2.2471453945699063
3400	4040	0.4683041572570801	7.452577352523804	0	9121	2.257114575600099
3600	4213	0.486222505569458	7.9388017654418945	0	9312	2.2097769340294255
3800	3826	0.4451887607574463	8.383991718292236	0	8594	2.2456232035536976
4000	4640	0.5523867607116699	8.936380386352539	0	10068	2.1693600517129927
4200	4134	0.4774210453033447	9.413803100585938	0	8966	2.1683192261185007
4400	4708	0.5776424407958984	9.99144721031189	3	10136	2.1524739859842854
4600	4955	0.592562198638916	10.58401107788086	2	10488	2.116222760290557
4800	4861	0.5667920112609863	11.15080451965332	1	10313	2.1211435623200328
5000	4543	0.5302693843841553	11.681076049804688	2	9488	2.0880281690140845
5200	4766	0.5602843761444092	12.24136233329773	0	9982	2.093979441997063
5400	4719	0.5527708530426025	12.794134855270386	2	9907	2.0989406779661017
5600	4435	0.5242242813110352	13.318361520767212	0	9315	2.099864743011722
5800	4762	0.5560498237609863	13.87441349029541	1	9885	2.075372664287214
6000	4907	0.5704176425933838	14.444833040237427	3	10131	2.0641809290953543
6200	4708	0.5504462718963623	14.995280742645264	3	9735	2.067317901889998
6400	5133	0.5960941314697266	15.591376543045044	1	10497	2.0446045968056095
6600	5325	0.6151154041290283	16.206493616104126	5	10866	2.040180247840781
6800	4785	0.5568456649780273	16.763340950012207	3	9874	2.063100710405349
7000	5085	0.5940988063812256	17.357441663742065	3	10336	2.0322453794730633
7200	5085	0.598524808883667	17.955968141555786	0	10236	2.0125835627211957
7400	4615	0.5443577766418457	18.500327348709106	1	9685	2.0981369150779896
7600	4878	0.5671627521514893	19.06749176979065	1	9774	2.0032793605246977
7800	4980	0.5809049606323242	19.648398399353027	1	10143	2.0363380847219434
8000	4876	0.5721695423126221	20.22057032585144	2	9807	2.0108673364773426
8200	5009	0.5895705223083496	20.81014323234558	1	10183	2.0325349301397204
8400	5217	0.6080543994903564	21.41819977760315	0	10371	1.987543119969337
8600	4880	0.572455883026123	21.990657329559326	2	9753	1.9981561155500922
8800	4819	0.5691075325012207	22.55976700782776	1	9719	2.016390041493776
9000	5317	0.6189301013946533	23.178698301315308	2	10342	1.9447160586686725
9200	4748	0.5567266941070557	23.735426902770996	1	9568	2.014739945251632
9400	5325	0.6222994327545166	24.357728004455566	1	10454	1.9628238828389035
9600	5501	0.6411271095275879	24.998856782913208	3	10830	1.9683751363140676
9800	4700	0.5555307865142822	25.554389476776123	4	9666	2.0561582641991065
10000	5097	0.598536491394043	26.15292763710022	3	10031	1.9676343664182032
10200	5236	0.611929178237915	26.76485848426819	1	10327	1.971930494557953
10400	5185	0.608497142791748	27.37335753440857	6	10306	1.9872734284612419
10600	4955	0.5847194194793701	27.958078861236572	3	9991	2.015940274414851
10800	4984	0.587045431137085	28.545125484466553	4	9834	1.9727181544633903
11000	4926	0.5787248611450195	29.123852252960205	1	9758	1.9805155266896692
