#Interval	Step nums	Times	Abs time	Breaks	Pos nums	Pos ratio
200	3163	0.36554956436157227	0.3655824661254883	0	8801	2.781605562579014
400	3339	0.3828308582305908	0.7484149932861328	0	9073	2.7164670658682635
600	3548	0.40802764892578125	1.1564435958862305	0	9399	2.6483516483516483
800	3370	0.3914778232574463	1.5479228496551514	0	8957	2.657075051913379
1000	3485	0.40549707412719727	1.9534225463867188	0	8938	2.563970166379805
1200	3342	0.3886299133300781	2.3420538902282715	0	8643	2.5854023332336227
1400	3571	0.4138524532318115	2.7559075355529785	0	9141	2.559070548712206
1600	3492	0.4066805839538574	3.1625893115997314	0	8899	2.54766676209562
1800	3941	0.4548335075378418	3.617424726486206	0	9334	2.367833587011669
2000	3913	0.45328783988952637	4.070713758468628	0	9231	2.358456821665815
2200	3931	0.4559154510498047	4.526630878448486	0	9563	2.432095625635809
2400	3957	0.4576230049133301	4.984254837036133	0	9202	2.324911571500758
2600	4427	0.5088763236999512	5.493131875991821	0	10009	2.2603884372177054
2800	3957	0.4598872661590576	5.953020095825195	0	9193	2.3226376958059625
3000	4080	0.4737119674682617	6.426733016967773	0	8934	2.189169321244793
3200	4768	0.5463764667510986	6.973110198974609	0	10110	2.1199412874816526
3400	4483	0.5150039196014404	7.488115310668945	0	9603	2.141614629794826
3600	4476	0.5154123306274414	8.003528594970703	0	9546	2.1322314049586777
3800	4731	0.5442318916320801	8.547761917114258	0	10038	2.121301775147929
4000	4787	0.5491883754730225	9.096951484680176	0	10335	2.158521303258145
4200	4504	0.5181012153625488	9.615053653717041	0	9584	2.1274139844617093
4400	4916	0.5656771659851074	10.180732727050781	0	10209	2.0762660158633315
4600	4074	0.4740610122680664	10.654794931411743	0	9014	2.2120245398773006
4800	5170	0.604496955871582	11.2592933177948	0	10716	2.072326435892477
5000	4965	0.578977108001709	11.838271856307983	0	10248	2.063632702376158
5200	4887	0.5719866752624512	12.410260200500488	0	10022	2.050327332242226
5400	4992	0.5815081596374512	12.991769552230835	0	10024	2.0076106549168835
5600	5164	0.5970468521118164	13.588817834854126	0	10477	2.028460793804453
5800	5190	0.5988218784332275	14.187640905380249	0	10346	1.9930649200539394
6000	4894	0.5673909187316895	14.755033254623413	0	10006	2.044126659856997
6200	5204	0.5994386672973633	15.354472875595093	0	10528	2.0226705091258403
6400	5352	0.6175272464752197	15.972001552581787	0	10765	2.0110218569026714
6600	4959	0.5811681747436523	16.553171396255493	0	10258	2.0681451612903228
6800	5368	0.6191856861114502	17.17235803604126	0	10655	1.9845408828459676
7000	4719	0.5493547916412354	17.72171378135681	0	9623	2.038771186440678
7200	5530	0.6369447708129883	18.358659505844116	0	11001	1.988971252937986
7400	5122	0.59861159324646	18.95727229118347	0	10202	1.9914112824516885
7600	5138	0.6082863807678223	19.56555962562561	0	10188	1.9824868651488616
7800	5313	0.6225202083587646	20.18808150291443	0	10804	2.0331200602182915
8000	5593	0.645378828048706	20.83346199989319	0	10913	1.9508401859134787
8200	4731	0.5605416297912598	21.394004821777344	0	9592	2.0270498732037194
8400	5044	0.5956556797027588	21.989662170410156	0	10386	2.0586719524281465
8600	5295	0.6171879768371582	22.60685157775879	0	10589	1.9994335347432024
8800	5283	0.619260311126709	23.22611403465271	0	10275	1.944549583648751
9000	5080	0.5973429679870605	23.823458194732666	0	10165	2.0005904349537493
9200	5010	0.5791592597961426	24.402618885040283	0	10125	2.0205547794851326
9400	5010	0.5773091316223145	24.979928970336914	0	9912	1.9780482937537418
9600	5198	0.6036300659179688	25.5835599899292	0	10186	1.959222927486055
9800	5280	0.6214900016784668	26.20505166053772	0	10463	1.9812535504639273
10000	5516	0.648496150970459	26.853549480438232	0	10648	1.9300344390067066
10200	5650	0.6730883121490479	27.526639699935913	0	10927	1.9336400637055389
10400	5034	0.6064674854278564	28.13310933113098	0	9731	1.9326713008937437
10600	5516	0.6451947689056396	28.7783100605011	0	10974	1.9891245241979336
10800	5501	0.6504652500152588	29.42877697944641	0	10800	1.9629225736095965
11000	4831	0.5665774345397949	29.99535608291626	0	9532	1.9726821192052981
11200	4991	0.5792319774627686	30.574589729309082	0	9800	1.9631410256410255
11400	5376	0.624610424041748	31.19920253753662	0	10338	1.9226334387204762
11600	5626	0.6570746898651123	31.856279134750366	0	10726	1.906166696285765
11800	5056	0.5946962833404541	32.450976848602295	0	9843	1.9464109155625866
12000	5297	0.6246068477630615	33.07558465003967	0	10271	1.9386560966402415
12200	5734	0.7205522060394287	33.796138763427734	0	10932	1.9061900610287708
12400	5209	0.6198995113372803	34.41603994369507	0	10119	1.9422264875239923
12600	5308	0.6207787990570068	35.03681993484497	0	10281	1.9365228856658505
12800	5404	0.628190279006958	35.66501188278198	0	10326	1.9104532839962998
13000	5424	0.6304011344909668	36.29541492462158	0	10437	1.9238709677419354
13200	5676	0.6508057117462158	36.94622206687927	0	10891	1.9184428395279196
13400	5234	0.6142110824584961	37.560434103012085	0	10219	1.9520534861509073
13600	5491	0.6549649238586426	38.2154016494751	0	10616	1.932993445010925
13800	5488	0.6892156600952148	38.904619216918945	0	10675	1.9447986882856623
14000	4818	0.5944843292236328	39.49910521507263	0	9340	1.9381614442830464
14200	5386	0.6416301727294922	40.14073729515076	0	10372	1.9253759049563766
14400	5354	0.6292197704315186	40.76995849609375	0	10297	1.922875816993464
14600	5267	0.6238749027252197	41.39383554458618	0	10270	1.9495064540622626
14800	5259	0.6231725215911865	42.017009973526	0	10038	1.9083650190114068
15000	5199	0.6070144176483154	42.62402582168579	0	9972	1.9176923076923076
15200	5188	0.608267068862915	43.23229503631592	0	10130	1.952206590865292
15400	6372	0.7450335025787354	43.9773313999176	0	11907	1.8683508551702495
15600	5730	0.6642827987670898	44.641615867614746	0	10888	1.899842959343919
15800	5950	0.7038283348083496	45.34544610977173	0	11192	1.8806923206183834
16000	5710	0.6639218330383301	46.00936937332153	0	10793	1.889861670460515
